,FacilityID,ProgramType,FacilityStatus,FacilityOpenedDate,LicenseIssueDate,LicenseExpirationDate,SchoolDistrictName,SchoolAgeCapacity,TotalCapacity,Latitude,Longitude,Tract
72,504436,GFDC,License ,2/16/2011 0:00,2/16/2013 0:00,2/15/2017 0:00,Brooklyn 20,4,16,40.601771,-74.003353,28200
73,507345,GFDC,License ,4/21/2011 0:00,4/21/2013 0:00,4/20/2017 0:00,Brooklyn 20,4,16,40.627065,-74.011375,20800
74,512418,GFDC,License ,4/28/2011 0:00,4/28/2013 0:00,4/27/2017 0:00,Brooklyn 20,4,16,40.640855,-74.017138,7400
75,521691,GFDC,License ,8/8/2011 0:00,8/8/2013 0:00,8/7/2017 0:00,Brooklyn 20,4,16,40.624478,-74.005417,19600
76,523937,GFDC,License ,8/5/2011 0:00,8/5/2013 0:00,8/4/2017 0:00,Brooklyn 20,4,16,40.605132,-73.992685,29000
77,533184,GFDC,License ,1/9/2012 0:00,1/9/2014 0:00,1/8/2018 0:00,Brooklyn 20,4,16,40.623127,-74.017966,20600
78,543262,GFDC,License ,8/9/2011 0:00,8/9/2013 0:00,8/8/2017 0:00,Brooklyn 20,4,16,40.622972,-74.034884,5000
79,553906,GFDC,License ,4/2/2012 0:00,4/2/2014 0:00,4/1/2018 0:00,Brooklyn 20,4,16,40.616811,-73.986812,25600
80,556472,FDC,Registration ,12/8/2011 0:00,12/8/2013 0:00,12/7/2017 0:00,Brooklyn 20,2,8,40.622485,-74.02442,14200
81,564284,GFDC,License ,5/25/2012 0:00,5/25/2014 0:00,5/24/2018 0:00,Brooklyn 20,4,16,40.607548,-73.982201,42600
82,569502,GFDC,License ,1/19/2012 0:00,1/19/2014 0:00,1/18/2018 0:00,Brooklyn 20,4,16,40.612137,-73.986539,25800
83,573364,GFDC,License ,3/26/2012 0:00,3/26/2014 0:00,3/25/2018 0:00,Brooklyn 20,4,16,40.643213,-74.018022,7400
84,573805,GFDC,License ,10/11/2012 0:00,10/11/2014 0:00,10/10/2018 0:00,Brooklyn 20,4,16,40.602062,-74.002989,28200
85,599970,GFDC,License ,8/29/2012 0:00,8/29/2014 0:00,8/28/2018 0:00,Brooklyn 20,4,16,40.612137,-73.986539,25800
86,602050,GFDC,License ,10/18/2012 0:00,10/18/2014 0:00,10/17/2018 0:00,Brooklyn 20,4,16,40.63089,-73.991027,23800
87,603017,GFDC,License ,6/8/2012 0:00,6/8/2014 0:00,6/7/2018 0:00,Brooklyn 20,4,16,40.602062,-74.002989,28200
88,603670,GFDC,License ,2/6/2013 0:00,2/6/2015 0:00,2/5/2019 0:00,Brooklyn 20,2,14,40.641349,-74.015848,7400
89,606815,GFDC,License ,7/16/2012 0:00,7/16/2014 0:00,7/15/2018 0:00,Brooklyn 20,4,16,40.636733,-73.981627,23000
90,611390,FDC,Pending Revocation,1/14/2013 0:00,1/14/2015 0:00,1/13/2019 0:00,Brooklyn 20,2,8,40.616747,-73.991128,26000
91,615955,GFDC,License ,11/19/2012 0:00,11/19/2014 0:00,11/18/2018 0:00,Brooklyn 20,4,16,40.633363,-73.979309,47800
92,620240,SACC,Registration ,2/8/2013 0:00,2/8/2015 0:00,2/7/2019 0:00,Brooklyn 20,189,189,40.639692,-74.019946,7200
93,620190,GFDC,License ,1/28/2013 0:00,1/28/2015 0:00,1/27/2019 0:00,Brooklyn 20,4,16,40.62973,-74.008153,21200
94,622443,GFDC,License ,11/30/2012 0:00,11/30/2014 0:00,11/29/2018 0:00,Brooklyn 20,4,16,40.630309,-73.99367,24000
