CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip
34,2007,5,12,22,12,18,18,0,0,-0.333333,-6,-0.333333,-6,36047003400,11209
34,2008,0,16,16,27,18,18,-0.407407,-11,-0.111111,-2,-0.111111,-2,36047003400,11209
34,2008,1,25,16,27,25,25,-0.074074,-2,0,0,0,0,36047003400,11209
34,2008,2,27,25,24,21,21,0.125,3,0.285714,6,0.285714,6,36047003400,11209
34,2008,3,26,27,20,18,18,0.3,6,0.444444,8,0.444444,8,36047003400,11209
34,2008,4,22,26,22,14,14,0,0,0.571429,8,0.571429,8,36047003400,11209
34,2008,5,23,22,12,19,19,0.916667,11,0.210526,4,0.210526,4,36047003400,11209
34,2009,0,25,25,16,24,24,0.5625,9,0.041667,1,0.041667,1,36047003400,11209
34,2009,1,19,25,25,23,23,-0.24,-6,-0.173913,-4,-0.173913,-4,36047003400,11209
34,2009,2,27,19,27,21,21,0,0,0.285714,6,0.285714,6,36047003400,11209
34,2009,3,29,27,26,21,21,0.115385,3,0.380952,8,0.380952,8,36047003400,11209
34,2009,4,27,29,22,14,14,0.227273,5,0.928571,13,0.928571,13,36047003400,11209
34,2009,5,20,27,23,12,12,-0.130435,-3,0.666667,8,0.666667,8,36047003400,11209
34,2010,0,27,27,25,27,27,0.08,2,0,0,0,0,36047003400,11209
34,2010,1,25,27,19,27,27,0.315789,6,-0.074074,-2,-0.074074,-2,36047003400,11209
34,2010,2,20,25,27,24,24,-0.259259,-7,-0.166667,-4,-0.166667,-4,36047003400,11209
34,2010,3,27,20,29,20,20,-0.068966,-2,0.35,7,0.35,7,36047003400,11209
34,2010,4,27,27,27,22,22,0,0,0.227273,5,0.227273,5,36047003400,11209
34,2010,5,26,27,20,12,12,0.3,6,1.166667,14,1.166667,14,36047003400,11209
36,2001,0,19,19,19,19,19,0,0,0,0,0,0,36047003600,11209
36,2001,1,35,19,35,35,35,0,0,0,0,0,0,36047003600,11209
36,2001,2,36,35,36,36,36,0,0,0,0,0,0,36047003600,11209
36,2001,3,30,36,30,30,30,0,0,0,0,0,0,36047003600,11209
36,2001,4,19,30,19,19,19,0,0,0,0,0,0,36047003600,11209
36,2001,5,29,19,29,29,29,0,0,0,0,0,0,36047003600,11209
36,2002,0,21,21,19,21,21,0.105263,2,0,0,0,0,36047003600,11209
36,2002,1,22,21,35,22,22,-0.371429,-13,0,0,0,0,36047003600,11209
36,2002,2,38,22,36,38,38,0.055556,2,0,0,0,0,36047003600,11209
36,2002,3,38,38,30,38,38,0.266667,8,0,0,0,0,36047003600,11209
36,2002,4,29,38,19,29,29,0.526316,10,0,0,0,0,36047003600,11209
36,2002,5,17,29,29,17,17,-0.413793,-12,0,0,0,0,36047003600,11209
36,2003,0,26,26,21,26,26,0.238095,5,0,0,0,0,36047003600,11209
36,2003,1,26,26,22,26,26,0.181818,4,0,0,0,0,36047003600,11209
36,2003,2,24,26,38,24,24,-0.368421,-14,0,0,0,0,36047003600,11209
36,2003,3,42,24,38,42,42,0.105263,4,0,0,0,0,36047003600,11209
36,2003,4,33,42,29,33,33,0.137931,4,0,0,0,0,36047003600,11209
36,2003,5,25,33,17,25,25,0.470588,8,0,0,0,0,36047003600,11209
36,2004,0,22,22,26,19,19,-0.153846,-4,0.157895,3,0.157895,3,36047003600,11209
36,2004,1,21,22,26,35,35,-0.192308,-5,-0.4,-14,-0.4,-14,36047003600,11209
36,2004,2,23,21,24,36,36,-0.041667,-1,-0.361111,-13,-0.361111,-13,36047003600,11209
36,2004,3,27,23,42,30,30,-0.357143,-15,-0.1,-3,-0.1,-3,36047003600,11209
36,2004,4,42,27,33,19,19,0.272727,9,1.210526,23,1.210526,23,36047003600,11209
36,2004,5,31,42,25,29,29,0.24,6,0.068966,2,0.068966,2,36047003600,11209
36,2005,0,13,13,22,21,21,-0.409091,-9,-0.380952,-8,-0.380952,-8,36047003600,11209
36,2005,1,23,13,21,22,22,0.095238,2,0.045455,1,0.045455,1,36047003600,11209
36,2005,2,19,23,23,38,38,-0.173913,-4,-0.5,-19,-0.5,-19,36047003600,11209
36,2005,3,24,19,27,38,38,-0.111111,-3,-0.368421,-14,-0.368421,-14,36047003600,11209
36,2005,4,25,24,42,29,29,-0.404762,-17,-0.137931,-4,-0.137931,-4,36047003600,11209
